date,county,daily_cases
2020-04-26,Winnebago,25
2020-04-27,Winnebago,22
2020-04-28,Winnebago,27
2020-04-29,Winnebago,50
2020-04-30,Winnebago,43
2020-05-01,Winnebago,36
2020-05-02,Winnebago,58
2020-05-03,Winnebago,59
2020-05-04,Winnebago,11
2020-05-05,Winnebago,47
2020-05-06,Winnebago,63
2020-05-07,Winnebago,71
2020-05-08,Winnebago,47
2020-05-09,Winnebago,40
2020-05-10,Winnebago,15
2020-05-11,Winnebago,227
2020-05-12,Winnebago,49
2020-05-13,Winnebago,129
2020-05-14,Winnebago,53
2020-05-15,Winnebago,54
2020-05-16,Winnebago,57
2020-05-17,Winnebago,57
2020-05-18,Winnebago,30
2020-05-19,Winnebago,60
2020-05-20,Winnebago,36
2020-05-21,Winnebago,96
2020-05-22,Winnebago,58
2020-05-23,Winnebago,87
2020-05-24,Winnebago,28
2020-05-25,Winnebago,40
2020-03-16,Peoria,0
2020-03-17,Peoria,2
2020-03-18,Peoria,0
2020-03-19,Peoria,0
2020-03-20,Peoria,0
2020-03-21,Peoria,0
2020-03-22,Peoria,0
2020-03-23,Peoria,0
2020-03-24,Peoria,1
2020-03-25,Peoria,1
2020-03-26,Peoria,1
2020-03-27,Peoria,1
2020-03-28,Peoria,1
2020-03-29,Peoria,0
2020-03-30,Peoria,0
2020-03-31,Peoria,2
2020-04-01,Peoria,1
2020-04-02,Peoria,0
2020-04-03,Peoria,0
2020-04-04,Peoria,3
2020-04-05,Peoria,-2
2020-04-06,Peoria,1
2020-04-07,Peoria,3
2020-04-08,Peoria,0
2020-04-09,Peoria,4
2020-04-10,Peoria,3
2020-04-11,Peoria,4
2020-04-12,Peoria,3
2020-04-13,Peoria,1
2020-04-14,Peoria,2
2020-04-15,Peoria,1
2020-04-16,Peoria,0
2020-04-17,Peoria,3
2020-04-18,Peoria,2
2020-04-19,Peoria,4
2020-04-20,Peoria,1
2020-04-21,Peoria,2
2020-04-22,Peoria,8
2020-04-23,Peoria,2
2020-04-24,Peoria,4
2020-04-25,Peoria,5
2020-04-26,Peoria,3
2020-04-27,Peoria,10
2020-04-28,Peoria,7
2020-04-29,Peoria,1
2020-04-30,Peoria,7
2020-05-01,Peoria,8
2020-05-02,Peoria,5
2020-05-03,Peoria,1
2020-05-04,Peoria,6
2020-05-05,Peoria,13
2020-05-06,Peoria,4
2020-05-07,Peoria,2
2020-05-08,Peoria,4
2020-05-09,Peoria,3
2020-05-10,Peoria,3
2020-05-11,Peoria,3
2020-05-12,Peoria,3
2020-05-13,Peoria,3
2020-05-14,Peoria,5
2020-05-15,Peoria,0
2020-05-16,Peoria,3
2020-05-17,Peoria,1
2020-05-18,Peoria,5
2020-05-19,Peoria,2
2020-05-20,Peoria,2
2020-05-21,Peoria,7
2020-05-22,Peoria,1
2020-05-23,Peoria,1
2020-05-24,Peoria,3
2020-05-25,Peoria,5
2020-03-16,Will,1
2020-03-17,Will,7
2020-03-18,Will,2
2020-03-19,Will,1
2020-03-20,Will,0
2020-03-21,Will,9
2020-03-22,Will,3
2020-03-23,Will,0
2020-03-24,Will,26
2020-03-25,Will,17
2020-03-26,Will,37
2020-03-27,Will,52
2020-03-28,Will,36
2020-03-29,Will,32
2020-03-30,Will,4
2020-03-31,Will,94
2020-04-01,Will,62
2020-04-02,Will,71
2020-04-03,Will,151
2020-04-04,Will,62
2020-04-05,Will,29
2020-04-06,Will,143
2020-04-07,Will,74
2020-04-08,Will,98
2020-04-09,Will,65
2020-04-10,Will,49
2020-04-11,Will,102
2020-04-12,Will,55
2020-04-13,Will,67
2020-04-14,Will,83
2020-04-15,Will,61
2020-04-16,Will,72
2020-04-17,Will,37
2020-04-18,Will,40
2020-04-19,Will,49
2020-04-20,Will,44
2020-04-21,Will,84
2020-04-22,Will,65
2020-04-23,Will,124
2020-04-24,Will,51
2020-04-25,Will,66
2020-04-26,Will,47
2020-04-27,Will,81
2020-04-28,Will,115
2020-04-29,Will,123
2020-04-30,Will,125
2020-05-01,Will,179
2020-05-02,Will,72
2020-05-03,Will,198
2020-05-04,Will,84
2020-05-05,Will,182
2020-05-06,Will,102
2020-05-07,Will,127
2020-05-08,Will,75
2020-05-09,Will,48
2020-05-10,Will,56
2020-05-11,Will,156
2020-05-12,Will,77
2020-05-13,Will,117
2020-05-14,Will,187
2020-05-15,Will,35
2020-05-16,Will,76
2020-05-17,Will,120
2020-05-18,Will,69
2020-05-19,Will,141
2020-05-20,Will,93
2020-05-21,Will,155
2020-05-22,Will,46
